════════════════════════════════════════════════════════
  notorch — JANUS 15M base training
  DIM=320 L=8 H=5 HD=64 FFN=1024 CTX=128 V=4096 RRPRAM_R=64
  Triple attn (MHA + RRPRAM-LR + Janus Echo), 1/3 blend, single W
  Chuck, 15000 steps, lr=6.0e-04 cosine, warmup 1500
════════════════════════════════════════════════════════
train: 8744739 tokens, val: 460249 tokens
model: 16291136 params (62.15 MB fp32)
karpathy: 0.220 epochs over 15000 steps (anti-chinchilla)

training...
─────────────────────────────────────────────────────────
  step     1/15000 | train 8.3453 | best 8.3453 | lr 6.00e-05 | 3.3s (eta 827m)
  step 10800/15000 | train 4.9746 | best 2.9355 | lr 1.79e-04 | 23610.9s (eta 153m)
  step 10850/15000 | train 5.0846 | best 2.9355 | lr 1.76e-04 | 23723.8s (eta 151m)
  step 10900/15000 | train 5.2406 | best 2.9355 | lr 1.74e-04 | 23836.3s (eta 149m)
  step 10950/15000 | train 5.2449 | best 2.9355 | lr 1.71e-04 | 23948.2s (eta 148m)
  step 11000/15000 | train 5.1442 | best 2.9355 | lr 1.69e-04 | 24060.7s (eta 146m)
  ──── eval step 11000 | val 5.1022
  step 11050/15000 | train 4.8291 | best 2.9355 | lr 1.66e-04 | 24188.5s (eta 144m)
  step 11100/15000 | train 5.1025 | best 2.9355 | lr 1.64e-04 | 24297.7s (eta 142m)
  step 11150/15000 | train 5.3669 | best 2.9355 | lr 1.61e-04 | 24407.1s (eta 140m)
  step 11200/15000 | train 5.0205 | best 2.9355 | lr 1.59e-04 | 24515.8s (eta 139m)
  step 11250/15000 | train 5.5300 | best 2.9355 | lr 1.56e-04 | 24624.8s (eta 137m)
  step 11300/15000 | train 4.5978 | best 2.9355 | lr 1.54e-04 | 24733.5s (eta 135m)
  step 11350/15000 | train 5.3407 | best 2.9355 | lr 1.52e-04 | 24843.3s (eta 133m)
  step 11400/15000 | train 4.9289 | best 2.9355 | lr 1.49e-04 | 24951.7s (eta 131m)
  step 11450/15000 | train 5.0681 | best 2.9355 | lr 1.47e-04 | 25060.3s (eta 129m)
  step 11500/15000 | train 4.8837 | best 2.9355 | lr 1.45e-04 | 25169.0s (eta 128m)
  ──── eval step 11500 | val 5.0743
  step 11550/15000 | train 5.0507 | best 2.9355 | lr 1.42e-04 | 25294.0s (eta 126m)
  step 11600/15000 | train 5.1420 | best 2.9355 | lr 1.40e-04 | 25403.2s (eta 124m)
  step 11650/15000 | train 4.6291 | best 2.9355 | lr 1.38e-04 | 25512.0s (eta 122m)
  step 11700/15000 | train 4.8589 | best 2.9355 | lr 1.36e-04 | 25620.9s (eta 120m)
  step 11750/15000 | train 4.8943 | best 2.9355 | lr 1.34e-04 | 25729.9s (eta 119m)
  step 11800/15000 | train 5.0048 | best 2.9355 | lr 1.32e-04 | 25838.9s (eta 117m)
